Lake Shore Limited,
"New York, NY – Moynihan Train Hall (NYP)",15:40
"Croton-Harmon, NY (CRT)",16:26
"Poughkeepsie, NY (POU)",17:10
"Rhinecliff, NY (RHI)",17:27
"Albany-Rensselaer, NY (ALB)",19:05
"Schenectady, NY (SDY)",19:33
"Utica, NY (UCA)",20:50
"Syracuse, NY – Regional Transportation Center (SYR)",22:05
"Rochester, NY – Louise M. Slaughter Station (ROC)",23:29
"Buffalo, NY – Depew Station (BUF)",0:39
"Erie, PA (ERI)",2:16
"Cleveland, OH (CLE)",4:03
"Elyria, OH (ELY)",4:36
"Sandusky, OH (SKY)",5:13
"Toledo, OH (TOL)",6:33
"Bryan, OH (BYN)",7:23
"Waterloo, IN (WTI)",7:51
"Elkhart, IN (EKH)",8:43
"South Bend, IN (SOB)",9:07
"Chicago, IL – Union Station (CHI)",10:12
